parameter,value,unit,is_reference,n_seed,costa_odcl_mean,costa_odcl_sd,true_odcl_mean,true_odcl_sd,deviation_mean,deviation_sd
DP,5.0,cmH2O,0,30,12.579,0.015,17.384,0.010,-4.806,0.020
DP,7.0,cmH2O,0,30,12.559,0.015,16.232,0.008,-3.673,0.018
DP,9.0,cmH2O,0,30,12.191,0.019,15.035,0.007,-2.843,0.020
DP,11.0,cmH2O,0,30,10.984,0.016,13.531,0.008,-2.547,0.018
DP,13.0,cmH2O,0,30,9.654,0.008,11.626,0.009,-1.972,0.013
DP,14.0,cmH2O,1,30,9.087,0.007,10.630,0.009,-1.543,0.010
DP,15.0,cmH2O,0,30,8.532,0.007,9.630,0.009,-1.098,0.007
max_sp,10.0,cmH2O,0,30,6.385,0.007,8.676,0.008,-2.290,0.008
max_sp,12.5,cmH2O,0,30,7.908,0.008,9.748,0.010,-1.840,0.013
max_sp,14.5,cmH2O,1,30,9.087,0.007,10.630,0.009,-1.543,0.010
max_sp,16.5,cmH2O,0,30,10.235,0.006,11.705,0.008,-1.470,0.008
max_sp,18.0,cmH2O,0,30,11.081,0.008,12.537,0.007,-1.456,0.009
h_mean,3.9,cmH2O,0,30,8.779,0.007,10.630,0.009,-1.851,0.010
h_mean,4.4,cmH2O,0,30,8.941,0.008,10.630,0.009,-1.689,0.011
h_mean,4.9,cmH2O,1,30,9.087,0.007,10.630,0.009,-1.543,0.010
h_mean,5.4,cmH2O,0,30,9.221,0.007,10.630,0.009,-1.409,0.009
h_mean,5.9,cmH2O,0,30,9.345,0.007,10.630,0.009,-1.285,0.009
TCP_TR,0.0,cmH2O,0,30,7.954,0.008,9.672,0.009,-1.718,0.010
TCP_TR,2.0,cmH2O,1,30,9.087,0.007,10.630,0.009,-1.543,0.010
TCP_TR,4.0,cmH2O,0,30,10.523,0.008,11.624,0.006,-1.101,0.009
TCP_TR,6.0,cmH2O,0,30,12.161,0.010,12.625,0.005,-0.464,0.010
OD_THR,20.0,cmH2O,0,30,9.087,0.007,9.125,0.006,-0.037,0.004
OD_THR,23.0,cmH2O,1,30,9.087,0.007,10.630,0.009,-1.543,0.010
OD_THR,26.0,cmH2O,0,30,9.087,0.007,12.238,0.009,-3.151,0.012
